permutation,ap_increment,auc_increment,log_loss_improvement,null_plus_ap,null_plus_auc,null_plus_log_loss
152,0.0024894632548636553,0.0017586514584529978,0.0008369871263730344,0.5527292987227549,0.9001805341320182,0.142324805359843
153,0.003462113283639434,-0.001108451902525398,-0.00034903642631584075,0.5537019487515307,0.8973134307710398,0.14351082891253186
154,-0.0054334326012445144,-0.0055872201202176175,-0.0026180555639501446,0.5448064028666467,0.8928346625533475,0.14577984805016617
155,-0.024734819349215065,-0.0011361199687350831,-0.0019250708611166234,0.5255050161186762,0.8972857627048301,0.14508686334733265
156,-0.0014177485612351104,-0.0005066714624647473,-0.0002953461186685491,0.5488220869066561,0.8979152112111004,0.14345713860488457
157,0.0022035152233965682,0.0003441215734830694,0.00035770636130777467,0.5524433506912878,0.8987660042470482,0.14280408612490825
158,-0.0010556466165968503,0.001156871018392236,0.0004622088717837758,0.5491841888512944,0.8995787536919574,0.14269958361443225
159,-0.008756662386713354,-0.0005585490866080178,-0.000777167017742525,0.5414831730811779,0.8978633335869571,0.14393895950395855
160,-0.014662559134427045,-0.0057117264181612,-0.0029413759073621815,0.5355772763334642,0.892710156255404,0.1461031683935782
161,0.0008448083745471457,0.00019194720932980136,0.00012205313999311129,0.5510846438424384,0.898613829882895,0.1430397393462229
162,-0.004623020048700077,-0.0030555920620318755,-0.0014031292699627773,0.5456168154191912,0.8953662906115333,0.1445649217561788
163,0.0002857918106714541,0.00017465466794852613,0.00027941174958220905,0.5505256272785627,0.8985965373415137,0.1428823807366338
164,-0.026848641119821104,-0.0014819707963561468,-0.002062370929312468,0.5233911943480701,0.896939911877209,0.1452241634155285
165,0.002359558013395713,6.398240310989678e-05,9.534245150571996e-06,0.552599393481287,0.898485865076675,0.14315225824106545
166,-0.0022864651207017417,-0.0007349330086946493,-0.00037359595858257877,0.5479533703471895,0.8976869496648705,0.1435353884447986
167,-0.005244887047201607,-0.00046862787142643025,-0.0004559283968857686,0.5449949484206896,0.8979532548021387,0.1436177208831018
168,-0.022874565812570524,-0.0033979843813765065,-0.0028016645531259987,0.5273652696553207,0.8950238982921886,0.14596345703934202
